dt,open,high,low,close
1994-08-01,20422.179688,20423.779297,20271.349609,20271.349609
1994-08-02,20339.169922,20661.929688,20339.169922,20660.130859
1994-08-03,20664.529297,20729.25,20592.220703,20632.730469
1994-08-04,20611.220703,20700.939453,20565.210938,20676.839844
1994-08-05,20655.330078,20680.939453,20467.490234,20521.699219
1994-08-08,20525.810547,20638.929688,20502.199219,20635.830078
1994-08-09,20706.140625,20774.75,20583.220703,20590.220703
1994-08-10,20597.019531,20770.25,20584.820313,20770.25
1994-08-11,20770.050781,20845.269531,20690.240234,20821.359375
1994-08-12,20825.070313,20825.070313,20643.029297,20663.830078
1994-08-15,20648.029297,20747.449219,20626.330078,20626.330078
1994-08-16,20657.230469,20842.169922,20657.230469,20786.359375
1994-08-17,20829.269531,20875.779297,20791.960938,20824.560547
1994-08-18,20830.869141,20862.769531,20772.150391,20862.769531
1994-08-19,20803.359375,20803.359375,20501.199219,20512.699219
1994-08-22,20536.009766,20538.210938,20380.480469,20394.580078
1994-08-23,20368.669922,20503.099609,20316.560547,20380.779297
1994-08-24,20346.970703,20511.599609,20311.960938,20511.599609
1994-08-25,20537.310547,20603.619141,20443.289063,20443.289063
1994-08-26,20457.789063,20554.310547,20416.279297,20471.490234
1994-08-29,20518.800781,20722.839844,20518.800781,20600.419922
1994-08-30,20591.619141,20629.929688,20503.699219,20592.119141
1994-08-31,20595.419922,20628.529297,20533.509766,20628.529297
1994-09-01,20634.330078,20700.539063,20617.519531,20642.929688
1994-09-02,20644.830078,20675.539063,20615.519531,20653.830078
1994-09-05,20645.230469,20645.230469,20395.980469,20409.179688
1994-09-06,20408.279297,20529.710938,20331.369141,20393.980469
1994-09-07,20364.470703,20364.470703,20023.800781,20023.800781
1994-09-08,20043.210938,20108.419922,19917.779297,19917.779297
1994-09-09,19966.589844,20150.929688,19853.169922,19897.880859
1994-09-12,19918.179688,19973.390625,19882.580078,19917.279297
1994-09-13,19925.589844,20097.019531,19826.369141,20046.109375
1994-09-14,20024.099609,20040.710938,19906.080078,19919.380859
1994-09-16,19948.390625,19972.589844,19795.259766,19796.259766
1994-09-19,19794.359375,19794.359375,19543.410156,19554.109375
1994-09-20,19601.720703,19842.169922,19601.720703,19837.269531
1994-09-21,19788.859375,19961.589844,19691.439453,19885.380859
1994-09-22,19907.580078,19907.580078,19760.050781,19833.669922
1994-09-26,19826.769531,19922.380859,19780.460938,19814.359375
1994-09-27,19807.160156,19822.160156,19414.080078,19468.890625
1994-09-28,19501.599609,19614.220703,19443.689453,19507.599609
1994-09-29,19559.009766,19732.25,19559.009766,19615.119141
1994-09-30,19647.529297,19719.039063,19519.699219,19563.810547
1994-10-03,19579.720703,19672.529297,19571.009766,19650.029297
1994-10-04,19649.529297,19651.830078,19525.710938,19568.609375
