dt,price,open,high,low
1994-08-01,99.35,98.5,99.46,98.3
1994-08-02,100.41,99.3,100.48,99.2
1994-08-03,100.27,100.36,100.83,100.05
1994-08-04,100.6,100.11,100.61,99.75
1994-08-05,100.25,100.53,100.9,100.05
1994-08-08,101.47,100.11,101.79,100.05
1994-08-09,101.18,101.41,101.59,101
1994-08-10,101.34,101.2,101.53,100.9
1994-08-11,100.16,101.4,101.47,100
1994-08-12,100.15,100.12,100.48,99.6
1994-08-15,100.13,100.01,100.38,99.98
1994-08-16,100.59,100.1,100.73,99.9
1994-08-17,100.1,100.63,101.03,100
1994-08-18,98.68,100.02,100.13,98.45
1994-08-19,98.7,98.67,98.9,98.05
1994-08-22,97.85,98.6,98.72,97.65
1994-08-23,97.87,97.86,98.62,97.63
1994-08-24,99.07,97.82,99.1,97.5
1994-08-25,99.6,99.05,99.82,98.9
1994-08-26,100.41,99.63,100.81,99.05
1994-08-29,100.02,100.22,100.62,99.85
1994-08-30,99.56,99.95,100.12,99.42
1994-08-31,100.1,99.51,100.3,99.33
1994-09-01,99.72,100.15,100.31,99.45
1994-09-02,99.12,99.65,100.23,98.95
1994-09-05,99.3,99.21,99.41,98.7
1994-09-06,98.72,99.15,99.22,98.45
1994-09-07,99.4,98.74,99.71,98.72
1994-09-08,99.57,99.28,99.71,99.02
1994-09-09,99.19,99.49,99.67,99
1994-09-12,99.23,99.15,99.28,98.7
1994-09-13,98.78,99.15,99.22,98.5
1994-09-14,99.19,98.71,99.25,98.3
1994-09-15,99.44,99.15,99.5,99.1
1994-09-16,98.95,99.41,99.5,98.5
1994-09-19,98.53,98.88,98.91,98.34
1994-09-20,97.71,98.6,98.68,97.52
1994-09-21,97.81,97.69,98.1,97.5
1994-09-22,98.06,97.83,98.22,97.8
1994-09-23,97.9,98.07,98.15,97.55
1994-09-26,98.73,97.75,98.89,97.58
1994-09-27,97.97,98.65,98.72,97.9
1994-09-28,98.98,97.95,99.13,97.75
1994-09-29,98.56,98.85,98.88,98.3
